cov_nr,cov_nr_error_type,cov_nr_severity,arm,arm_error_type,arm_severity,arm_explanation,arm_explanation_error_type,arm_explanation_severity,needs_discussion_arm,needs_discussion_arm_error_type,needs_discussion_arm_severity,needs_discussion_arm_explanation,needs_discussion_arm_explanation_error_type,needs_discussion_arm_explanation_severity,n,n_error_type,n_severity,time_intervention_days,time_intervention_days_error_type,time_intervention_days_severity,time_followup_days,time_followup_days_error_type,time_followup_days_severity,time_total_days,time_total_days_error_type,time_total_days_severity,needs_discussion_time,needs_discussion_time_error_type,needs_discussion_time_severity,needs_discussion_time_explanation,needs_discussion_time_explanation_error_type,needs_discussion_time_explanation_severity,diagnosis,diagnosis_error_type,diagnosis_severity,gender_pct_female,gender_pct_female_error_type,gender_pct_female_severity,gender_pct_male,gender_pct_male_error_type,gender_pct_male_severity,gender_female_n,gender_female_n_error_type,gender_female_n_severity,gender_male_n,gender_male_n_error_type,gender_male_n_severity,needs_discussion_gender,needs_discussion_gender_error_type,needs_discussion_gender_severity,needs_discussion_gender_explanation,needs_discussion_gender_explanation_error_type,needs_discussion_gender_explanation_severity,age_mean,age_mean_error_type,age_mean_severity,age_sd,age_sd_error_type,age_sd_severity,age_se,age_se_error_type,age_se_severity,age_other,age_other_error_type,age_other_severity,bmi_mean,bmi_mean_error_type,bmi_mean_severity,bmi_sd,bmi_sd_error_type,bmi_sd_severity,bmi_other,bmi_other_error_type,bmi_other_severity,bp_systolic_mean,bp_systolic_mean_error_type,bp_systolic_mean_severity,bp_systolic_sd,bp_systolic_sd_error_type,bp_systolic_sd_severity,bp_diastolic_mean,bp_diastolic_mean_error_type,bp_diastolic_mean_severity,bp_diastolic_sd,bp_diastolic_sd_error_type,bp_diastolic_sd_severity,bp_other,bp_other_error_type,bp_other_severity,smoking_status,smoking_status_error_type,smoking_status_severity,pack_years_mean,pack_years_mean_error_type,pack_years_mean_severity,pack_years_sd,pack_years_sd_error_type,pack_years_sd_severity,pack_years_other,pack_years_other_error_type,pack_years_other_severity,smoking_status_other,smoking_status_other_error_type,smoking_status_other_severity,fev1_pct_mean,fev1_pct_mean_error_type,fev1_pct_mean_severity,fev1_pct_sd,fev1_pct_sd_error_type,fev1_pct_sd_severity,fev1_other,fev1_other_error_type,fev1_other_severity,disease_severity_other,disease_severity_other_error_type,disease_severity_other_severity,healthcare_setting,healthcare_setting_error_type,healthcare_setting_severity,healthcare_setting_explanation,healthcare_setting_explanation_error_type,healthcare_setting_explanation_severity,healthcare_setting_confidence,healthcare_setting_confidence_error_type,healthcare_setting_confidence_severity,healthcare_setting_confidence_explanation,healthcare_setting_confidence_explanation_error_type,healthcare_setting_confidence_explanation_severity,health_literacy,health_literacy_error_type,health_literacy_severity,health_literacy_instrument_name,health_literacy_instrument_name_error_type,health_literacy_instrument_name_severity,health_literacy_instrument_value,health_literacy_instrument_value_error_type,health_literacy_instrument_value_severity,health_literacy_instrument_other,health_literacy_instrument_other_error_type,health_literacy_instrument_other_severity,digital_strategy_excludes,digital_strategy_excludes_error_type,digital_strategy_excludes_severity,digital_strategy_excludes_explanation,digital_strategy_excludes_explanation_error_type,digital_strategy_excludes_explanation_severity,digital_strategy_provides_equipment,digital_strategy_provides_equipment_error_type,digital_strategy_provides_equipment_severity,digital_strategy_provides_equipment_explanation,digital_strategy_provides_equipment_explanation_error_type,digital_strategy_provides_equipment_explanation_severity,needs_discussion_equipment,needs_discussion_equipment_error_type,needs_discussion_equipment_severity,needs_discussion_equipment_explanation,needs_discussion_equipment_explanation_error_type,needs_discussion_equipment_explanation_severity,digital_strategy_provides_training,digital_strategy_provides_training_error_type,digital_strategy_provides_training_severity,digital_strategy_provides_training_explanation,digital_strategy_provides_training_explanation_error_type,digital_strategy_provides_training_explanation_severity,digital_strategy_provides_ongoing_support,digital_strategy_provides_ongoing_support_error_type,digital_strategy_provides_ongoing_support_severity,digital_strategy_provides_ongoing_support_explanation,digital_strategy_provides_ongoing_support_explanation_error_type,digital_strategy_provides_ongoing_support_explanation_severity,digital_literacy,digital_literacy_error_type,digital_literacy_severity,digital_literacy_possession,digital_literacy_possession_error_type,digital_literacy_possession_severity,digital_literacy_frequency,digital_literacy_frequency_error_type,digital_literacy_frequency_severity,digital_literacy_skills,digital_literacy_skills_error_type,digital_literacy_skills_severity,ses,ses_error_type,ses_severity,ses_income,ses_income_error_type,ses_income_severity,ses_living_situation,ses_living_situation_error_type,ses_living_situation_severity,ses_relationship_status,ses_relationship_status_error_type,ses_relationship_status_severity,ses_job_status,ses_job_status_error_type,ses_job_status_severity,ses_living_location,ses_living_location_error_type,ses_living_location_severity,educational_level,educational_level_error_type,educational_level_severity,educational_level_correction_note,ethnicity,ethnicity_error_type,ethnicity_severity,ethnicity_correction_note,_metadata,_metadata_error_type,_metadata_severity,n_correction_note,healthcare_setting_correction_note,ses_correction_note
4108,none,none,treat1,none,none,MOBILE-Coached,none,none,1,none,none,"Tiebreaker rule 2 applied: MOBILE-C has more of the studied component (coaching/feedback) than MOBILE-SM, so MOBILE-SM is control.",none,none,9,none,none,180,none,none,0,none,none,180,none,none,0,none,none,NA,none,none,COPD,none,none,66.67,none,none,33.33,none,none,6,none,none,3,none,none,0,none,none,NA,none,none,72,none,none,9,none,none,NA,none,none,NA,none,none,26.3,none,none,5.5,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,46.7,none,none,18.7,none,none,NA,none,none,"FEV1_FVC_ratio_mean: 0.48~FEV1_FVC_ratio_sd: 0.10~GOLD_stage: Stage 2: 33.33%, Stages 3 and 4: 66.67%~BODE_mean: 3.0~BODE_sd: 2.4~comorbid_any_pct: 66.67%~LTOT_pct: 55.56%~SGRQ_total_mean: 38.3~SGRQ_total_sd: 4.7~SF12_PCS_mean: 32.8~SF12_PCS_sd: 2.3~SF12_MCS_mean: 50.6~SF12_MCS_sd: 3.8~6MWD_mean: 1240~6MWD_sd: 125~steps_per_day_mean: 6692~steps_per_day_sd: 1007",none,none,2,none,none,Participants were graduates of pulmonary rehabilitation programs; intervention was home-based with remote specialist (nurse) support from the research team at the University of Washington.,none,none,moderate,none,none,"Step 1 split: clinical responsibility not explicitly stated but likely hospital specialist (PR graduates, research team at university); delivery is home-based via cell phone (suggests 3). Step 2 provider type (nurse interventionist from research team) and recruitment source (PR programs) both suggest 2. Coded 2.",none,none,2,none,none,PAM,none,none,20.9,none,none,SD 4.7,none,none,1,none,none,unable or unwilling to use the study issued cell phone,none,none,1,none,none,study-issued cell phone (Treo 650/700) with monthly data service plan provided,none,none,0,none,none,NA,none,none,1,none,none,"trained on entering data via the cell phone, asked to provide a return demonstration, and given a step-by-step help booklet with screenshots",none,none,1,none,none,"phone number of research office for questions; technical difficulties tracked and resolved (e.g., instructions for reset, device exchange)",none,none,1,none,none,Computer user: 7 (77.78%),none,none,NA,none,none,NA,none,none,1,none,none,NA,none,none,NA,none,none,Married/partnered: 2 (22.22%),none,none,NA,none,none,NA,none,none,College educated or higher: 6 (66.67%)~missing (inferred): 3,none,none,,Caucasian: 8 (88.89%)~African-American: 1 (11.11%),none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:00:29.105578', 'study_info': {'n_arms': 2, 'arm_labels': ['MOBILE-Coached', 'MOBILE-Self-Monitored']}}",none,none,,,
4108,none,none,control,none,none,MOBILE-Self-Monitored,none,none,1,none,none,"Tiebreaker rule 2 applied: MOBILE-SM has less of the studied component (no coaching/feedback) than MOBILE-C, so it is the control.",none,none,8,none,none,180,none,none,0,none,none,180,none,none,0,none,none,NA,none,none,COPD,none,none,62.5,none,none,37.5,none,none,5,none,none,3,none,none,0,none,none,NA,none,none,64,none,none,12,none,none,NA,none,none,NA,none,none,25.0,none,none,7.8,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,34.4,none,none,15,none,none,NA,none,none,"FEV1_FVC_ratio_mean: 0.39~FEV1_FVC_ratio_sd: 0.12~GOLD_stage: Stage 2: 25.00%, Stages 3 and 4: 75.00%~BODE_mean: 3.7~BODE_sd: 1.3~comorbid_any_pct: 62.50%~LTOT_pct: 62.50%~SGRQ_total_mean: 50.7~SGRQ_total_sd: 5.0~SF12_PCS_mean: 31.4~SF12_PCS_sd: 2.4~SF12_MCS_mean: 54.2~SF12_MCS_sd: 4.1~6MWD_mean: 1200~6MWD_sd: 133~steps_per_day_mean: 5229~steps_per_day_sd: 1068",none,none,2,hallucinated_value,high,Participants were graduates of pulmonary rehabilitation programs; intervention was home-based with remote support from the research team at the University of Washington.,hallucinated_value,high,moderate,hallucinated_value,high,"Step 1 split: clinical responsibility not explicitly stated but likely hospital specialist (PR graduates, research team at university); delivery is home-based via cell phone (suggests 3). Step 2 provider type (nurse interventionist from research team) and recruitment source (PR programs) both suggest 2. Coded 2.",hallucinated_value,high,2,none,none,PAM,none,none,20.5,none,none,SD 4.4,none,none,1,none,none,unable or unwilling to use the study issued cell phone,none,none,1,none,none,study-issued cell phone (Treo 650/700) with monthly data service plan provided,none,none,0,none,none,NA,none,none,1,none,none,"trained on entering data via the cell phone, asked to provide a return demonstration, and given a step-by-step help booklet with screenshots",none,none,1,none,none,"phone number of research office for questions; technical difficulties tracked and resolved (e.g., instructions for reset, device exchange)",none,none,1,none,none,Computer user: 8 (100.00%),none,none,NA,none,none,NA,none,none,1,none,none,NA,none,none,NA,none,none,Married/partnered: 3 (37.50%),none,none,NA,none,none,NA,none,none,College educated or higher: 7 (87.50%)~missing (inferred): 1,none,none,,Caucasian: 6 (75.00%)~African-American: 2 (25.00%),none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:00:29.105578', 'study_info': {'n_arms': 2, 'arm_labels': ['MOBILE-Coached', 'MOBILE-Self-Monitored']}}",none,none,,3,
4475,none,none,treat1,none,none,telemonitoring,none,none,0,none,none,NA,none,none,128,none,none,365,none,none,0,none,none,365,none,none,0,none,none,NA,none,none,COPD,none,none,58.59,none,none,41.41,none,none,75,none,none,53,none,none,0,none,none,NA,none,none,69.4,none,none,8.8,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,Never smoked: 2 (1.56%)~Ex-smoker: 89 (69.53%)~Current smoker: 37 (28.91%),none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,44.0,none,none,18.8,none,none,NA,none,none,"GOLD_stage: Mild/moderate: 46, Severe: 45, Very severe: 37~MRC_distribution: 1: 4 (3.15%), 2: 23 (18.11%), 3: 31 (24.41%), 4: 24 (18.90%), 5: 45 (35.43%)~comorbid_one_or_more_pct: 78 (60.94%)~hospitalizations_prior_year_mean: 2.3~hospitalizations_prior_year_sd: 2.1~SGRQ_total_mean: 68.6~SGRQ_total_sd: 16.6~HADS_anxiety_mean: 9.8~HADS_anxiety_sd: 5.2~HADS_depression_mean: 8.9~HADS_depression_sd: 4.4~other: SECD6 mean 5.0 (SD 2.2)~other: MARS mean 24.0 (SD 2.1)~other: LINQ mean 7.8 (SD 3.3)",none,none,2,none,none,"home-based telemonitoring with remote specialist support from hospital-based clinical teams (Edinburgh Community Respiratory Team, Midlothian nurses, or GP practices)",none,none,moderate,none,none,"Step 1 split: clinical responsibility lies with hospital specialist teams or GP (suggests 2 or 1), but delivery is fully home-based via telemonitoring equipment (suggests 3). Step 2 provider type (hospital-employed respiratory team/nurse specialists deliver remote monitoring) confirmed 2.",none,none,2,none,none,SECD6,none,none,5.0,none,none,SD 2.2,none,none,1,none,none,unable to use the technology,none,none,1,none,none,"touch screen telemonitoring equipment, pulse oximeter, and secure broadband link installed in participant's home",none,none,0,none,none,NA,none,none,1,none,none,clinical team visited participant at home to explain how to use the technology,none,none,1,none,none,participants had access to technological advice and support throughout the trial,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,TRUE,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,,NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:02:42.271981', 'study_info': {'n_arms': 2, 'arm_labels': ['telemonitoring', 'control']}}",none,none,,,"probably (correctly) triggered on SMID, but there is no general SES or SES_other field."
4475,none,none,control,none,none,usual care,none,none,0,none,none,NA,none,none,128,none,none,365,none,none,0,none,none,365,none,none,0,none,none,NA,none,none,COPD,none,none,50.78,none,none,49.22,none,none,65,none,none,63,none,none,0,none,none,NA,none,none,68.4,none,none,8.4,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,Never smoked: 0 (0.00%)~Ex-smoker: 98 (76.56%)~Current smoker: 30 (23.44%),none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,40.0,none,none,17.0,none,none,NA,none,none,"GOLD_stage: Mild/moderate: 42, Severe: 42, Very severe: 44~MRC_distribution: 1: 1 (0.78%), 2: 26 (20.31%), 3: 27 (21.09%), 4: 31 (24.22%), 5: 43 (33.59%)~comorbid_one_or_more_pct: 91 (71.09%)~hospitalizations_prior_year_mean: 2.5~hospitalizations_prior_year_sd: 2.6~SGRQ_total_mean: 68.8~SGRQ_total_sd: 15.2~HADS_anxiety_mean: 9.6~HADS_anxiety_sd: 4.6~HADS_depression_mean: 8.2~HADS_depression_sd: 4.1~other: SECD6 mean 5.2 (SD 2.3)~other: MARS mean 23.8 (SD 1.8)~other: LINQ mean 7.8 (SD 3.4)",none,none,2,none,none,"usual care delivered by hospital-based clinical teams (Edinburgh Community Respiratory Team, Midlothian nurses) or GP practices; participants recruited from hospital and primary care",none,none,moderate,none,none,"Step 1: clinical responsibility lies with hospital specialist teams or GP (suggests 2 or 1), delivery location is not explicitly described for control group. Step 2: recruitment from hospital and primary care, and the control group received the same clinical care as the intervention group (which was hospital/GP-led), confirming 2.",none,none,2,none,none,SECD6,none,none,5.2,none,none,SD 2.3,none,none,1,none,none,unable to use the technology,none,none,0,none,none,NA,rule_misapplication,low,0,none,none,NA,rule_misapplication,low,0,none,none,NA,none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,TRUE,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,,NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:02:42.271981', 'study_info': {'n_arms': 2, 'arm_labels': ['telemonitoring', 'control']}}",none,none,,,"probably (correctly) triggered on SMID, but there is no general SES or SES_other field."
4727,none,none,treat1,none,none,telehealth intervention (TH),none,none,0,none,none,NA,none,none,334,none,none,365,none,none,0,none,none,365,none,none,0,rule_misapplication,low,NA,rule_misapplication,low,COPD,none,none,43.71,none,none,56.29,none,none,146,none,none,188,none,none,0,none,none,NA,none,none,71.49,none,none,NA,none,none,0.506,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,home-based telehealth intervention with remote monitoring by healthcare professionals; clinical responsibility held by GP practice (recruited from 121 General Practices),none,none,moderate,none,none,"Step 1 split: clinical responsibility lies with GP practice (suggests 1), but delivery is home-based via telehealth equipment (suggests 3). Step 2 provider type (monitoring centre health-care professionals review data and trigger responses) and recruitment source (GP practices) confirmed 1.",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,landline telephone and broadband internet connection required; sufficient cognitive capacity and English language skills to complete a self-reported questionnaire,none,none,1,none,none,"pulse oximeter, blood pressure monitor, weight scales, additional peripherals (e.g., glucometer), home monitoring system with base unit or set-top box",none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,1,none,none,"data transmitted to monitoring centre reviewed by health-care professionals; appropriate response triggered (e.g., repeat reading, contact participant, arrange home visit, refer to other service)",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,TRUE,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,hallucinated_value,high,"reported as ""Level of education"" - avg decimal where: 1=GCSE/Olevel, 2= Alevel/HNC, 3=uni, 4=grad",Non-White: 3.89%~White British/Irish: 96.11%,rule_misapplication,low,no n extracted.,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:01:24.760176', 'study_info': {'n_arms': 2, 'arm_labels': ['telehealth intervention', 'standard care']}}",none,none,,,"deprivation score reported, not caught by extraction because of missing field."
4727,none,none,control,none,none,standard care (usual care),none,none,0,none,none,NA,none,none,244,none,none,365,none,none,0,none,none,365,none,none,0,rule_misapplication,low,NA,rule_misapplication,low,COPD,none,none,43.44,none,none,56.56,none,none,106,none,none,138,none,none,0,none,none,NA,none,none,72.22,none,none,NA,none,none,0.592,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,standard care delivered at recruitment site (GP practice); participants recruited from 121 General Practices,none,none,moderate,none,none,"Only recruitment source (GP practices) available as signal; no explicit description of control setting. Step 1: clinical responsibility likely GP (suggests 1), delivery location not described. Step 2: recruitment from GP practices confirmed 1.",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,landline telephone and broadband internet connection required; sufficient cognitive capacity and English language skills to complete a self-reported questionnaire,none,none,0,none,none,NA,rule_misapplication,low,0,none,none,NA,rule_misapplication,low,0,none,none,NA,none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,TRUE,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,hallucinated_value,high,"reported as ""Level of education"" - avg decimal where: 1=GCSE/Olevel, 2= Alevel/HNC, 3=uni, 4=grad",Non-White: 4.10%~White British/Irish: 95.90%,rule_misapplication,low,no n extracted.,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:01:24.760176', 'study_info': {'n_arms': 2, 'arm_labels': ['telehealth intervention', 'standard care']}}",none,none,,,"deprivation score reported, not caught by extraction because of missing field."
5232,none,none,treat1,none,none,self-monitoring group,none,none,0,none,none,NA,none,none,41,none,none,182,none,none,0,none,none,182,none,none,0,none,none,NA,none,none,COPD,none,none,43.9,none,none,56.1,none,none,18,none,none,23,none,none,0,none,none,NA,none,none,71.76,none,none,7.28,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,"Median 28.10, MAD 4.15",none,none,129.9,none,none,20.5,none,none,75.37,none,none,10.63,none,none,NA,none,none,Currently smoking: 12%~Never smoked: 11%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,"Years since quitting: median 15, MAD 10.38 (n=31)",none,none,NA,none,none,NA,none,none,"Median 0.53, MAD 0.13",none,none,disease_duration_years_median: 4.5~disease_duration_years_mad: 5.19~FEV1_L_median: 1.26~FEV1_L_mad: 0.67~FEV1_FVC_ratio_median: 0.58~FEV1_FVC_ratio_mad: 0.16~CAT_mean: 15.54~CAT_sd: 7.65~exacerbations_prior_year_median: 1~exacerbations_prior_year_mad: 1.48~ED_visits_prior_year_median: 0~ED_visits_prior_year_mad: 0~hospitalizations_prior_year_median: 0~hospitalizations_prior_year_mad: 0~GP_visits_prior_year_median: 1~GP_visits_prior_year_mad: 1.48~other: Never been in exercise/rehabilitation: 68%~other: Never used technology: 78%~other: No medications on hold: 59%,none,none,2,none,none,home-based self-monitoring with hospital-based RT oversight; clinical responsibility lies with hospital respirologist/RT,none,none,moderate,none,none,"Step 1 split: clinical responsibility lies with hospital specialist (suggests 2), but delivery is home-based via kit (suggests 3). Step 2 provider type (hospital-employed RT provides training and monitoring) confirmed 2.",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,patients without Wi-Fi internet access in their homes; inability to use the technology because of physical or cognitive impairment,none,none,1,none,none,"Cloud DX Connected Health Kit including tablet, Pulsewave wrist cuff monitor, oximeter, weighing scale, and thermometer",none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,1,none,none,option to email or call clinic with nonemergency questions; Cloud DX staff monitored extreme levels and contacted patients; regular bug fixes throughout trial,none,none,1,none,none,NA,none,none,NA,none,none,Never used technology: 78%,rule_misapplication,low,TRUE,rule_misapplication,low,NA,none,none,NA,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,,NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:13:03.910172'}",none,none,,,"not sure what it triggered on. SES_other missing. Maybe patients with caregiver, could be inferred participant is not living alone."
5232,none,none,treat2,none,none,remote monitoring group,none,none,0,none,none,NA,none,none,41,none,none,182,none,none,0,none,none,182,none,none,0,none,none,NA,none,none,COPD,none,none,43.9,none,none,56.1,none,none,18,none,none,23,none,none,0,none,none,NA,none,none,71.98,none,none,9.52,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,"Median 23.40, MAD 6.52",none,none,125.65,none,none,17.34,none,none,74.48,none,none,8.83,none,none,NA,none,none,Currently smoking: 24%~Never smoked: 23%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,"Years since quitting: median 13, MAD 11.86 (n=24)",none,none,NA,none,none,NA,none,none,"Median 0.50, MAD 0.25",none,none,disease_duration_years_median: 7~disease_duration_years_mad: 4.45~FEV1_L_median: 1.17~FEV1_L_mad: 0.43~FEV1_FVC_ratio_median: 0.54~FEV1_FVC_ratio_mad: 0.19~CAT_mean: 19.15~CAT_sd: 8.18~exacerbations_prior_year_median: 2~exacerbations_prior_year_mad: 2.97~ED_visits_prior_year_median: 0~ED_visits_prior_year_mad: 0~hospitalizations_prior_year_median: 0~hospitalizations_prior_year_mad: 0~GP_visits_prior_year_median: 1~GP_visits_prior_year_mad: 1.48~other: Never been in exercise/rehabilitation: 80%~other: Never used technology: 85%~other: No medications on hold: 63%,none,none,2,none,none,home-based remote monitoring with active hospital-based RT monitoring and weekly calls; clinical responsibility lies with hospital respirologist/RT,none,none,moderate,none,none,"Step 1 split: clinical responsibility lies with hospital specialist (suggests 2), but delivery is home-based via kit (suggests 3). Step 2 provider type (hospital-employed RT provides active monitoring and calls) confirmed 2.",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,patients without Wi-Fi internet access in their homes; inability to use the technology because of physical or cognitive impairment,none,none,1,none,none,"Cloud DX Connected Health Kit including tablet, Pulsewave wrist cuff monitor, oximeter, weighing scale, and thermometer",none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,1,none,none,option to email or call clinic with nonemergency questions; Cloud DX staff monitored extreme levels and contacted patients; regular bug fixes throughout trial,none,none,1,none,none,NA,none,none,NA,none,none,Never used technology: 85%,rule_misapplication,low,TRUE,rule_misapplication,low,NA,none,none,NA,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,,NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:13:03.910172'}",none,none,,,"not sure what it triggered on. SES_other missing. Maybe patients with caregiver, could be inferred participant is not living alone."
5232,none,none,control,none,none,standard care,none,none,0,none,none,NA,none,none,40,none,none,182,none,none,0,none,none,182,none,none,0,none,none,NA,none,none,COPD,none,none,47.5,none,none,52.5,none,none,19,none,none,21,none,none,0,none,none,NA,none,none,72.78,none,none,9.16,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,"Median 24.65, MAD 6.67",none,none,129.36,none,none,15.86,none,none,76.76,none,none,7.55,none,none,NA,none,none,Currently smoking: 23%~Never smoked: 3%,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,"Years since quitting: median 15, MAD 17.79 (n=29)",none,none,NA,none,none,NA,none,none,"Median 0.45, MAD 0.22",none,none,disease_duration_years_median: 4~disease_duration_years_mad: 3.71~FEV1_L_median: 1.09~FEV1_L_mad: 0.47~FEV1_FVC_ratio_median: 0.56~FEV1_FVC_ratio_mad: 0.18~CAT_mean: 20.42~CAT_sd: 7.68~exacerbations_prior_year_median: 1~exacerbations_prior_year_mad: 1.48~ED_visits_prior_year_median: 0~ED_visits_prior_year_mad: 0~hospitalizations_prior_year_median: 0~hospitalizations_prior_year_mad: 0~GP_visits_prior_year_median: 1.5~GP_visits_prior_year_mad: 2.22~other: Never been in exercise/rehabilitation: 58%~other: Never used technology: 68%~other: No medications on hold: 63%,none,none,2,none,none,standard care at hospital-based respiratory clinic,none,none,high,none,none,NA,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,patients without Wi-Fi internet access in their homes; inability to use the technology because of physical or cognitive impairment,none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,1,none,none,NA,none,none,NA,none,none,Never used technology: 68%,rule_misapplication,low,TRUE,rule_misapplication,low,NA,none,none,NA,rule_misapplication,low,NA,none,none,NA,none,none,NA,none,none,NA,none,none,,NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:13:03.910172'}",none,none,,,"not sure what it triggered on. SES_other missing. Maybe patients with caregiver, could be inferred participant is not living alone."
5343,none,none,treat1,none,none,telerehabilitation intervention (activity coach + web portal) added to usual care,none,none,0,none,none,NA,none,none,14,rule_misapplication,low,28,none,none,0,none,none,28,none,none,0,none,none,NA,none,none,COPD,none,none,42.86,none,none,57.14,none,none,6,none,none,8,none,none,0,none,none,NA,none,none,65.2,none,none,9.0,none,none,NA,none,none,NA,none,none,28.4,none,none,7.8,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,Current: 1 (7.14%)~Former: 13 (92.86%),none,none,NA,none,none,NA,none,none,NA,none,none,NA,none,none,48.7,none,none,16.7,none,none,NA,none,none,MRC_mean: 2.0~MRC_sd: 0.9~CCQ_total_mean: 2.0~CCQ_total_sd: 0.8~other: MFI general fatigue: 12.5 (SD 4.0)~other: MFI physical fatigue: 13.1 (SD 3.7)~other: MFI reduced activity: 9.9 (SD 3.7)~other: MFI reduced motivation: 9.0 (SD 3.8)~other: MFI mental fatigue: 6.8 (SD 3.2)~other: Physiotherapy at baseline: 11 (78.57%),none,none,2,none,none,Home-based telerehabilitation (activity coach and web portal) with clinical responsibility under chest physician; usual care includes physiotherapy at local practices,none,none,moderate,none,none,"Step 1 split: clinical responsibility lies with chest physician (suggests 2), delivery is home-based (suggests 3). Step 2b recruitment from chest physician confirmed 2.",none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,internet access at home required,none,none,0,hallucinated_value,high,NA,hallucinated_value,high,0,hallucinated_value,high,NA,hallucinated_value,high,1,none,none,two 90-minute self-management sessions to learn how to complete the daily diary on the web portal,none,none,0,none,none,NA,none,none,0,none,none,NA,none,none,NA,none,none,NA,none,none,1,none,none,NA,none,none,NA,none,none,NA,none,none,Employed: 4 (28.57%)~Unemployed: 10 (71.43%),none,none,NA,none,none,NA,none,none,,NA,none,none,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:03:54.222270', 'study_info': {'n_arms': 2, 'arm_labels': ['intervention', 'control']}}",none,none,"table 1 reports this, technically ITT is 15",,
