cov_nr,arm,arm_explanation,needs_discussion_arm,needs_discussion_arm_explanation,n,time_intervention_days,time_followup_days,time_total_days,needs_discussion_time,needs_discussion_time_explanation,diagnosis,gender_pct_female,gender_pct_male,gender_female_n,gender_male_n,needs_discussion_gender,needs_discussion_gender_explanation,age_mean,age_sd,age_se,age_other,bmi_mean,bmi_sd,bmi_other,bp_systolic_mean,bp_systolic_sd,bp_diastolic_mean,bp_diastolic_sd,bp_other,smoking_status,pack_years_mean,pack_years_sd,pack_years_other,smoking_status_other,fev1_pct_mean,fev1_pct_sd,fev1_other,disease_severity_other,healthcare_setting,healthcare_setting_explanation,healthcare_setting_confidence,healthcare_setting_confidence_explanation,health_literacy,health_literacy_instrument_name,health_literacy_instrument_value,health_literacy_instrument_other,digital_strategy_excludes,digital_strategy_excludes_explanation,digital_strategy_provides_equipment,digital_strategy_provides_equipment_explanation,needs_discussion_equipment,needs_discussion_equipment_explanation,digital_strategy_provides_training,digital_strategy_provides_training_explanation,digital_strategy_provides_ongoing_support,digital_strategy_provides_ongoing_support_explanation,digital_literacy,digital_literacy_possession,digital_literacy_frequency,digital_literacy_skills,ses,ses_income,ses_living_situation,ses_relationship_status,ses_job_status,ses_living_location,educational_level,ethnicity,_metadata,healthcare_setting_label
1288,treat1,tele-rehabilitation with telehealth monitor,False,,57,120.0,180.0,300.0,False,,COPD,,,,,False,,,,,Median 68 (IQR 45-82),,,"Median 25.5, range 16.0-41.0",,,,,"Median systolic/diastolic 136/81, range 97/52 to 180/126",,,,,,,,"Median FEV1 0.90 L, range 0.26-2.09",other: bodyweight median 72.9 kg (range 39.0-118.0)~other: SpO2 median 93.5% (range 89.0-99.0)~other: heart rate median 82 bpm (range 57-111)~other: MRC dyspnoea score median 3.6 (range 2-5),2,home-based telehealth monitoring with remote support from primary and secondary care professionals; monthly video meetings for coordination,moderate,"Step 1: delivery home-based (suggests 3), clinical responsibility shared across GP, district nurses, health-care centre, hospital (suggests 1 or 2). Step 2 confirms hospital involvement via specialist monitoring and video meetings, favoring 2.",0,,,,0,,1,"telehealth monitor device installed at home, step counter provided",False,,1,patients taught how to measure clinical values and how to use a step counter upon installation,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:49:15.476824', 'study_info': {'n_arms': 2, 'arm_labels': ['tele-rehabilitation', 'control']}}",Secondary
1288,control,standard regime for rehabilitation (home exercises with no planned contact),False,,48,120.0,180.0,300.0,False,,COPD,,,,,False,,,,,Median 68 (IQR 46-89),,,"Median 24.6, range 13.5-38.5",,,,,"Median systolic/diastolic 134/78, range 107/57 to 165/98",,,,,,,,"Median FEV1 0.93 L, range 0.33-2.13",other: bodyweight median 69.3 kg (range 38.0-123.7)~other: SpO2 median 94.3% (range 86.0-98.0)~other: heart rate median 80 bpm (range 46-115)~other: MRC dyspnoea score median 3.8 (range 2-5),2,home-based exercise with no planned contact; patients instructed at inclusion and then responsible for performing activities themselves,moderate,"Step 1: delivery home-based (suggests 3), no clinical responsibility described for control after initial instruction. Step 2: recruitment from same settings as intervention (GP, hospital, health-care centre, district nursing) suggests participants remain under usual care from those providers; coded 2 by inheritance of recruitment setting.",0,,,,0,,0,,False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:49:15.476824', 'study_info': {'n_arms': 2, 'arm_labels': ['tele-rehabilitation', 'control']}}",Secondary
1400,treat1,telemedicine intervention,False,,210,,,,True,"The paper reports a cohort study covering 2009-2013 with three periods (pre-RCT, during RCT, post-RCT). The 'during RCT' period is the intervention period, but its exact duration in days is not specified. The total study period is 5 years (1825 days), but the intervention period within that is not clearly delineated.",COPD,60.48,39.52,127.0,83.0,False,,71.99,9.6,,,,,,,,,,,,,,,,,,,,2,Patients were admitted to Odense University Hospital (OUH) for acute exacerbation of COPD. The telemedicine intervention was subsequent to admission. Clinical responsibility lies with hospital specialists.,high,,0,,,,0,,0,,True,The paper does not describe what equipment was provided for the telemedicine intervention or whether participants needed to own any hardware.,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:51:27.456650', 'study_info': {'n_arms': 2, 'arm_labels': ['telemedicine', 'control']}}",Secondary
1400,control,no telemedicine intervention (usual care),False,,3931,,,,True,"The paper reports a cohort study covering 2009-2013 with three periods (pre-RCT, during RCT, post-RCT). The 'during RCT' period is the intervention period, but its exact duration in days is not specified. The total study period is 5 years (1825 days), but the intervention period within that is not clearly delineated.",COPD,51.56,48.44,2027.0,1904.0,False,,71.97,11.75,,,,,,,,,,,,,,,,,,,,2,Patients were admitted to Odense University Hospital (OUH) for acute exacerbation of COPD. The control group received usual care at the hospital.,high,,0,,,,0,,0,,True,The paper does not describe what equipment was provided for the telemedicine intervention or whether participants needed to own any hardware.,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:51:27.456650', 'study_info': {'n_arms': 2, 'arm_labels': ['telemedicine', 'control']}}",Secondary
1537,treat1,"EDGE platform-based intervention (tablet, oximeter, daily monitoring, self-management support)",False,,110,365.0,0.0,365.0,False,,COPD,38.18,61.82,42.0,68.0,False,,69.8,9.1,,,28.6,7.1,,,,,,,Current: 23 (20.91%)~Ex-smoker (<2 years): 17 (15.45%)~Ex-smoker (≥2 years): 70 (63.64%),,,,,47.4,15.6,,"other: FEV1_or_FVC_mean: 47.6 (SD 11.3)~other: COPD_medications_median: 5 (IQR 3-6)~other: other_medications_median: 4 (IQR 2-7)~GOLD_stage: Moderate: 37.27%, Severe or very severe: 62.73%~MRC_distribution: 2: 15.45%, 3: 67.27%, 4: 17.27%~other: any_comorbidity: 89 (80.91%)~SGRQ_total_mean: 56.4~SGRQ_total_sd: 19.7~other: SCL-10A_median: 0.3 (IQR 0.1-0.9)~other: SCL-20_median: 0.53 (IQR 0.3-1.15)~other: BMQ_mean: 24.6 (SD 4.8)~other: MARS_mean: 23.4 (SD 2.3)~EQ5D_mean: 0.62~EQ5D_sd: 0.24~other: deprivation_score_mean: 22440 (SD 7951.9)",2,"home-based digital intervention with remote monitoring by respiratory clinicians (nurse, physiotherapist, doctor) from the local clinical respiratory team",moderate,"Step 1 split: clinical responsibility by respiratory specialists (suggests 2), delivery at home (suggests 3). Step 2 provider type (hospital/community respiratory team) confirms 2.",0,,,,0,,1,Android tablet computer and Bluetooth-enabled pulse oximeter provided,False,,1,brief instruction by research nurse and information booklet on use of EDGE platform,0,,False,,,,True,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:55:51.905964'}",Secondary
1537,control,"standardized usual care (leaflets, no digital component)",False,,56,365.0,0.0,365.0,False,,COPD,39.29,60.71,22.0,34.0,False,,69.8,10.6,,,29.1,7.8,,,,,,,Current: 13 (23.21%)~Ex-smoker (<2 years): 8 (14.29%)~Ex-smoker (≥2 years): 35 (62.50%),,,,,50.1,16.9,,"other: FEV1_or_FVC_mean: 49.8 (SD 11.5)~other: COPD_medications_median: 5 (IQR 4-6)~other: other_medications_median: 5 (IQR 2.5-8)~GOLD_stage: Moderate: 41.07%, Severe or very severe: 58.93%~MRC_distribution: 2: 17.86%, 3: 69.64%, 4: 12.50%~other: any_comorbidity: 47 (83.93%)~SGRQ_total_mean: 55.5~SGRQ_total_sd: 16.2~other: SCL-10A_median: 0.3 (IQR 0-0.5)~other: SCL-20_median: 0.68 (IQR 0.3-1.1)~other: BMQ_mean: 25.3 (SD 5.7)~other: MARS_mean: 22.5 (SD 3.8)~EQ5D_mean: 0.63~EQ5D_sd: 0.24~other: deprivation_score_mean: 22777 (SD 7261.5)",2,"standardized usual care; participants recruited from primary and secondary care settings, likely receiving care from their usual providers",low,"No explicit setting described for control arm; inferred from recruitment sources (primary and secondary care). Coded as 2 based on likely hospital specialist involvement, but confidence low.",0,,,,0,,0,,False,,0,,0,,False,,,,True,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:55:51.905964'}",Secondary
1672,treat1,telerehabilitation program (TelePR),False,,46,365.0,0.0,365.0,False,,COPD,34.78,65.22,16.0,30.0,False,,62.3,8.2,,,26.88,5.64,,,,,,,,,,,,42.09,14.59,,FEV1_L_mean: 1.16~FEV1_L_sd: 0.39~FVC_L_mean: 2.65~FVC_L_sd: 0.70~FVC_pct_mean: 72.82~FVC_pct_sd: 16.61~FEV1_FVC_ratio_mean: 44.76~FEV1_FVC_ratio_sd: 12.04~TLCO_pct_mean: 55.16~TLCO_pct_sd: 18.56~KCO_pct_mean: 65.97~KCO_pct_sd: 18.82~TLC_pct_mean: 111.46~TLC_pct_sd: 26.16~FRC_pct_mean: 136.69~FRC_pct_sd: 44.88~CPET_Wmax_mean: 76.50~CPET_Wmax_sd: 35.53~VO2peak_mean: 15.71~VO2peak_sd: 3.82~6MWD_mean: 445.07~6MWD_sd: 101.99~PaO2_mean: 70.64~PaO2_sd: 16.65~PaCO2_mean: 39.00~PaCO2_sd: 5.75~SpO2_mean: 94.44~SpO2_sd: 2.47~BODE_mean: 3.56~BODE_sd: 1.63~mMRC_mean: 2.00~mMRC_sd: 0.92~CAT_mean: 16.02~CAT_sd: 6.08~GOLD_stage_mean: 2.93~GOLD_stage_sd: 0.86~other: GESEPOC_mean: 2.31 (SD 1.00)~Charlson_mean: 5.73~Charlson_sd: 11.55~SF36_PCS_mean: 52.02~SF36_PCS_sd: 20.18~SF36_MCS_mean: 70.98~SF36_MCS_sd: 18.78~CRQ_dyspnea_mean: 5.18~CRQ_dyspnea_sd: 1.21~CRQ_fatigue_mean: 4.69~CRQ_fatigue_sd: 1.09~CRQ_emotion_mean: 5.13~CRQ_emotion_sd: 1.16~CRQ_mastery_mean: 5.22~CRQ_mastery_sd: 1.46~Borg_rest_mean: 0.61~Borg_rest_sd: 1.02~other: BORG1-Leg_mean: 0.70 (SD 1.53)~Borg_post_exercise_mean: 4.78~Borg_post_exercise_sd: 2.65~other: BORG2-Leg_mean: 2.85 (SD 2.63),2,home-based telerehabilitation with remote specialist support from hospital pulmonology team,moderate,"Step 1 split: clinical responsibility lies with hospital specialist (suggests 2), but delivery is home-based (suggests 3). Step 2 provider type (hospital-employed staff monitor via remote platform) confirmed 2.",0,,,,0,,1,"telerehabilitation kit (mobile phone, pulse oximeter, dumbbells, exercise bicycle) provided",False,,1,user guide with detailed instructions on use of mobile device,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:51:24.632942', 'study_info': {'n_arms': 2, 'arm_labels': ['usual care', 'telePR programme']}}",Secondary
1672,control,usual care,False,,48,365.0,0.0,365.0,False,,COPD,31.25,68.75,15.0,33.0,False,,63.0,6.6,,,27.42,4.82,,,,,,,,,,,,45.87,17.24,,FEV1_L_mean: 1.26~FEV1_L_sd: 0.48~FVC_L_mean: 2.83~FVC_L_sd: 0.74~FVC_pct_mean: 73.38~FVC_pct_sd: 16.39~FEV1_FVC_ratio_mean: 44.56~FEV1_FVC_ratio_sd: 11.60~TLCO_pct_mean: 62.71~TLCO_pct_sd: 18.95~KCO_pct_mean: 71.45~KCO_pct_sd: 18.52~TLC_pct_mean: 110.04~TLC_pct_sd: 24.57~FRC_pct_mean: 131.48~FRC_pct_sd: 37.70~CPET_Wmax_mean: 78.84~CPET_Wmax_sd: 27.87~VO2peak_mean: 16.95~VO2peak_sd: 5.00~6MWD_mean: 449.17~6MWD_sd: 92.16~PaO2_mean: 73.81~PaO2_sd: 13.53~PaCO2_mean: 40.00~PaCO2_sd: 4.66~SpO2_mean: 94.65~SpO2_sd: 2.56~BODE_mean: 3.21~BODE_sd: 1.46~mMRC_mean: 1.78~mMRC_sd: 0.77~CAT_mean: 15.87~CAT_sd: 7.83~GOLD_stage_mean: 3.00~GOLD_stage_sd: 0.82~other: GESEPOC_mean: 2.13 (SD 1.01)~Charlson_mean: 5.53~Charlson_sd: 11.00~SF36_PCS_mean: 54.03~SF36_PCS_sd: 22.72~SF36_MCS_mean: 75.43~SF36_MCS_sd: 18.44~CRQ_dyspnea_mean: 5.20~CRQ_dyspnea_sd: 1.41~CRQ_fatigue_mean: 4.76~CRQ_fatigue_sd: 1.31~CRQ_emotion_mean: 5.21~CRQ_emotion_sd: 1.28~CRQ_mastery_mean: 5.29~CRQ_mastery_sd: 1.50~Borg_rest_mean: 0.31~Borg_rest_sd: 0.75~other: BORG1-Leg_mean: 0.40 (SD 1.06)~Borg_post_exercise_mean: 3.92~Borg_post_exercise_sd: 2.65~other: BORG2-Leg_mean: 2.43 (SD 2.53),2,usual care with follow-up at hospital outpatient clinics,moderate,"Step 1 split: clinical responsibility lies with hospital specialist (suggests 2), but delivery is home-based (suggests 3). Step 2 recruitment from hospital outpatient clinics confirmed 2.",0,,,,0,,0,,False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:51:24.632942', 'study_info': {'n_arms': 2, 'arm_labels': ['usual care', 'telePR programme']}}",Secondary
1800,treat1,pulmonary telerehabilitation,False,,67,70.0,364.0,434.0,False,,COPD,,,,,True,"Only overall gender reported (55% female), not per arm.",,,,Overall mean 68.3 (SD 9.0),,,,,,,,,,,,,Overall: 75% former smokers,,,Overall mean 33.1 (SD 9.4),other: Overall baseline 6MWD 327.3 m (102.8),2,home-based telerehabilitation with remote supervision by hospital-based therapist,moderate,"Step 1 split: clinical responsibility lies with hospital (suggests 2), delivery is home-based (suggests 3). Step 2 provider type (hospital-employed therapist delivers remotely) confirmed 2.",0,,,,0,,0,,True,Screen provided but unclear if internet connectivity is also provided; participant may need own internet.,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:59:20.776293'}",Secondary
1800,control,conventional pulmonary rehabilitation,False,,67,70.0,364.0,434.0,False,,COPD,,,,,True,"Only overall gender reported (55% female), not per arm.",,,,Overall mean 68.3 (SD 9.0),,,,,,,,,,,,,Overall: 75% former smokers,,,Overall mean 33.1 (SD 9.4),other: Overall baseline 6MWD 327.3 m (102.8),2,hospital outpatient pulmonary rehabilitation,high,,0,,,,0,,0,,False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:59:20.776293'}",Secondary
1952,treat1,telehomecare (Telekit),False,,47,300.0,0.0,300.0,False,,COPD,46.81,53.19,22.0,25.0,False,,70.2,9.06,,,,,,130.4,18.1,75.6,8.9,,,,,,,46.6,15.6,,FVC_pct_mean: 66.6~FVC_pct_sd: 19.4~HR_mean: 73.3~HR_sd: 13.3,3,home-based telehomecare monitored by community nurses,moderate,Step 1 split: clinical responsibility shared between GP (primary care) and community nurses (community care); delivery location home-based (community care). Step 2 provider type (community nurses) confirmed community care. Coded 3.,2,TOFHLA,70.26,"SD 18.68; subscales: numeracy 37.26 (9.30), reading comprehension 33.00 (11.87)",1,have a phone connection,1,"tablet, blood pressure monitor, scale, pulse oximeter",False,,1,"nurse demonstrated tablet operation and physical measurements, went through manual",1,"follow-up session at 3-4 weeks, contact information for community nurse",False,,,,True,,Living alone: 40.43%~Married or living with a partner: 59.57%,,,,Elementary school: 36.17%~High school: 6.38%~Higher education: 12.77%~Skilled: 44.68%,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:12:45.874391'}",Community
1952,control,usual care,False,,43,300.0,0.0,300.0,False,,COPD,58.14,41.86,25.0,18.0,False,,69.5,10.12,,,,,,132.8,18.6,79.4,12.4,,,,,,,48.4,18.1,,FVC_pct_mean: 76.3~FVC_pct_sd: 16.6~HR_mean: 79.4~HR_sd: 13.4,1,usual care delivered by general practitioner and municipality nursing; participants recruited from GP lists,moderate,Only recruitment source (GP lists) available as signal; delivery location not explicitly described. Coded 1 based on GP responsibility.,2,TOFHLA,72.84,"SD 19.89; subscales: numeracy 36.95 (10.01), reading comprehension 35.88 (11.42)",1,have a phone connection (inclusion criterion for trial),0,,False,,0,,0,,False,,,,True,,Living alone: 60.47%~Married or living with a partner: 39.53%,,,,Elementary school: 18.60%~High school: 2.33%~Higher education: 20.93%~Skilled: 58.14%,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:12:45.874391'}",Primary
2003,treat1,pulmonary tele-rehabilitation (PTR),False,,67,70.0,84.0,154.0,False,,COPD,52.24,47.76,35.0,32.0,False,,68.4,8.7,,,25.5,5.0,,,,,,,Never: 2 (2.99%)~Former: 51 (76.12%)~Current: 12 (17.91%)~non-smoking (inferred): 2,42.4,23.1,,Printed Former 79% vs recomputed 76.12% (discrepancy >1pp),32.6,10.3,,"FEV1_FVC_ratio_mean: 43.9~FEV1_FVC_ratio_sd: 11.3~GOLD_stage: I: 0%, II: 0%, III: 55%, IV: 45%~GOLD_stage: A: 5%, B: 34%, C: 3%, D: 58%~LTOT_pct: 16.42%~SpO2_mean: 94.6~SpO2_sd: 2.4~mMRC_distribution: 2: 2.99%, 3: 44.78%, 4: 40.30%, 5: 11.94%~BODE_median: 5.0~BODE_iqr: 4-7~other: Charlson Comorbidity Index: 1: 45%, 2: 40%, ≥3: 15%~exacerbations_prior_year_median: 2~exacerbations_prior_year_iqr: 0-4~6MWD_mean: 322.3~6MWD_sd: 108.3~other: 30sec-STS_mean: 9.9~other: 30sec-STS_sd: 4.7~steps_per_day_mean: 2779~steps_per_day_sd: 1966~sedentary_min_per_day_mean: 1244~sedentary_min_per_day_sd: 121~other: active_min_per_day_mean: 196~other: active_min_per_day_sd: 121~CAT_mean: 19.8~CAT_sd: 7.3~HADS_anxiety_mean: 6.8~HADS_anxiety_sd: 3.8~HADS_depression_mean: 4.5~HADS_depression_sd: NA~EQ5D_VAS_mean: 51.5~EQ5D_VAS_sd: 19.4~EQ5D_mean: 0.66~EQ5D_sd: 0.20~CCQ_symptoms_mean: 2.8~CCQ_symptoms_sd: 1.2~CCQ_functional_mean: 2.8~CCQ_functional_sd: 1.1~CCQ_mental_mean: 2.8~CCQ_mental_sd: 1.5~CCQ_total_mean: 2.7~CCQ_total_sd: 0.9~other: Walking aid: 34%",2,home-based tele-rehabilitation supervised by hospital physiotherapists and nurses via videoconference,moderate,"Step 1 split: clinical responsibility lies with hospital specialist (suggests 2), but delivery is home-based via videoconference (suggests 3). Step 2 provider type (hospital-employed physiotherapists and nurses) confirmed 2.",0,,,,0,,1,"single touch screen, step-box, dumbbells provided and installed by technician",False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:02:57.395280', 'study_info': {'n_arms': 2, 'arm_labels': ['conventional pulmonary rehabilitation', 'pulmonary tele-rehabilitation']}}",Secondary
2003,control,conventional pulmonary rehabilitation (PR),False,,67,70.0,84.0,154.0,False,,COPD,58.21,41.79,39.0,28.0,False,,68.2,9.4,,,25.9,6.4,,,,,,,Never: 1 (1.49%)~Former: 48 (71.64%)~Current: 18 (26.87%),44.5,17.3,,,33.7,8.4,,"FEV1_FVC_ratio_mean: 42.7~FEV1_FVC_ratio_sd: 11.1~GOLD_stage: I: 0%, II: 0%, III: 67%, IV: 33%~GOLD_stage: A: 0%, B: 33%, C: 4%, D: 63%~LTOT_pct: 13.43%~SpO2_mean: 94.8~SpO2_sd: 3.1~mMRC_distribution: 3: 52.24%, 4: 34.33%, 5: 13.43%~BODE_median: 5.0~BODE_iqr: 4-6~other: Charlson Comorbidity Index: 1: 34%, 2: 33%, ≥3: 33%~exacerbations_prior_year_median: 2~exacerbations_prior_year_iqr: 1-3~6MWD_mean: 332.3~6MWD_sd: 97.5~other: 30sec-STS_mean: 9.6~other: 30sec-STS_sd: 3.8~steps_per_day_mean: 3422~steps_per_day_sd: 2335~sedentary_min_per_day_mean: 1164~sedentary_min_per_day_sd: 134~other: active_min_per_day_mean: 276~other: active_min_per_day_sd: 134~CAT_mean: 20.4~CAT_sd: 6.6~HADS_anxiety_mean: 5.9~HADS_anxiety_sd: 3.1~HADS_depression_mean: 4.1~HADS_depression_sd: 3.1~EQ5D_VAS_mean: 53.9~EQ5D_VAS_sd: 19.1~EQ5D_mean: 0.70~EQ5D_sd: 0.12~CCQ_symptoms_mean: 3.0~CCQ_symptoms_sd: 1.2~CCQ_functional_mean: 3.0~CCQ_functional_sd: 1.3~CCQ_mental_mean: 2.9~CCQ_mental_sd: 1.4~CCQ_total_mean: 2.9~CCQ_total_sd: 1.0~other: Walking aid: 33%",2,hospital outpatient pulmonary rehabilitation,high,,0,,,,0,,0,,False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-08T00:02:57.395280', 'study_info': {'n_arms': 2, 'arm_labels': ['conventional pulmonary rehabilitation', 'pulmonary tele-rehabilitation']}}",Secondary
2125,treat1,"telemonitoring with pulse oximeter, thermometer, sphygmomanometer, and online diary",False,,53,60.0,120.0,180.0,False,,COPD,18.87,81.13,10.0,43.0,False,,81.4,7.8,,,20.2,4.3,,,,,,,,58.0,43.0,,,62.0,23.0,,"FEV1_FVC_ratio_mean: 0.53~FEV1_FVC_ratio_sd: 0.11~GOLD_stage: Mild/moderate: 66.04%, Severe/very severe: 33.96%~other: Admission in prior year: 30.19%~other: ER visit in prior year: 35.85%~comorbid_IHD_pct: 22.64%~comorbid_HF_pct: 26.42%~comorbid_hypertension_pct: 52.83%~comorbid_diabetes_pct: 20.75%",2,home-based telemonitoring with remote specialist support from hospital pulmonology team,moderate,"Step 1 split: clinical responsibility lies with hospital pulmonologists (suggests 2), but delivery is home-based (suggests 3). Step 2 provider type (hospital-employed study nurses and pulmonologists deliver remote monitoring) confirmed 2.",0,,,,1,accessibility to the internet and phone required; unable to access study website excluded,0,,False,,1,trained in use of equipment and online diary by study nurses prior to discharge,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:52:54.418425', 'study_info': {'n_arms': 2, 'arm_labels': ['telemonitoring', 'usual care']}}",Secondary
2125,control,usual care,False,,53,60.0,120.0,180.0,False,,COPD,28.3,71.7,15.0,38.0,False,,79.0,9.6,,,20.2,4.1,,,,,,,,47.0,31.0,,,62.0,21.0,,"FEV1_FVC_ratio_mean: 0.55~FEV1_FVC_ratio_sd: 0.09~GOLD_stage: Mild/moderate: 64.15%, Severe/very severe: 35.85%~other: Admission in prior year: 35.85%~other: ER visit in prior year: 32.08%~comorbid_IHD_pct: 16.98%~comorbid_HF_pct: 24.53%~comorbid_hypertension_pct: 62.26%~comorbid_diabetes_pct: 18.87%",1,usual care delivered by primary care physicians,high,,0,,,,1,accessibility to the internet and phone required; unable to access study website excluded,0,,False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:52:54.418425', 'study_info': {'n_arms': 2, 'arm_labels': ['telemonitoring', 'usual care']}}",Primary
2172,control,"usual care (no rehabilitation, no contact, only advice during hospital stay)",False,,15,30.0,0.0,30.0,False,,COPD,40.0,60.0,6.0,9.0,False,,68.0,6.0,,,29.0,5.0,,,,,,,,,,,,48.0,18.0,,FEV1_FVC_ratio_mean: 47~FEV1_FVC_ratio_sd: 13~other: QF (Nm) mean: 112 (SD 28)~other: QF (% predicted) mean: 85 (SD 43)~6MWD_mean: 317~6MWD_sd: 95~6MWD_pct_pred_mean: 53~6MWD_pct_pred_sd: 16~other: Stops during 6MWD mean: 0.66 (SD 0.62)~other: Duration of stops (s) mean: 38 (SD 48)~steps_per_day_mean: 1557~steps_per_day_sd: 1319~other: PAwalk (minutes/day) mean: 20 (SD 17)~other: PAint (m/s2) mean: 1.34 (SD 0.50)~mMRC_median: 2~mMRC_iqr: 2-3~CAT_median: 19~CAT_iqr: 15-22,2,home-based pedometer and telephone counseling with hospital physiotherapist support; recruited from university hospital,moderate,"Step 1 split: clinical responsibility with hospital specialist (suggests 2), delivery at home (suggests 3). Step 2 provider type (hospital-employed physiotherapist delivers telephone counseling) confirmed 2.",0,,,,1,Ability to work with electronic devices required,0,,False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:56:01.466738', 'study_info': {'n_arms': 2, 'arm_labels': ['Control', 'Intervention']}}",Secondary
2172,treat1,pedometer (Fitbit Ultra) with real-time feedback and telephone counseling 3x/week,False,,15,30.0,0.0,30.0,False,,COPD,46.67,53.33,7.0,8.0,False,,66.0,7.0,,,25.0,9.0,,,,,,,,,,,,38.0,17.0,,FEV1_FVC_ratio_mean: 41~FEV1_FVC_ratio_sd: 14~other: QF (Nm) mean: 84 (SD 42)~other: QF (% predicted) mean: 71 (SD 38)~6MWD_mean: 235~6MWD_sd: 134~6MWD_pct_pred_mean: 36~6MWD_pct_pred_sd: 18~other: Stops during 6MWD mean: 1.23 (SD 0.92)~other: Duration of stops (s) mean: 81 (SD 61)~steps_per_day_mean: 1644~steps_per_day_sd: 2751~other: PAwalk (minutes/day) mean: 22 (SD 35)~other: PAint (m/s2) mean: 1.46 (SD 0.25)~mMRC_median: 3~mMRC_iqr: 2-3~CAT_median: 25~CAT_iqr: 13-28,2,home-based pedometer and telephone counseling with hospital physiotherapist support; recruited from university hospital,moderate,"Step 1 split: clinical responsibility with hospital specialist (suggests 2), delivery at home (suggests 3). Step 2 provider type (hospital-employed physiotherapist delivers telephone counseling) confirmed 2.",0,,,,1,Ability to work with electronic devices required,0,,False,,0,,0,,False,,,,False,,,,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:56:01.466738', 'study_info': {'n_arms': 2, 'arm_labels': ['Control', 'Intervention']}}",Secondary
2391,control,standard hospital treatment,False,,28,,180.0,180.0,True,Intervention duration is variable (from admission to discharge); no fixed intervention period. Follow-up is 180 days post-discharge.,COPD,60.71,39.29,17.0,11.0,False,,,,,<60: 5 (17.9%); 60-70: 8 (28.6%); 70-80: 9 (32.1%); >80: 6 (21.4%),,,,,,,,,Former smoker: 14 (50.00%)~Never smoker: 0 (0.00%)~Smoker: 14 (50.00%),,,,,,,,"FEV1_L_median: 0.7~FEV1_L_range: 0.4-1.8~FVC_L_median: 1.6~FVC_L_range: 0.7-3.4~respiratory_rate_median: 20.0~respiratory_rate_range: 12-36~SpO2_median: 93.0~SpO2_range: 89-99~HR_median: 88.5~HR_range: 49-126~LTOT_pct: 7.14%~SGRQ_total_median: 65.3~SGRQ_total_range: 34.1-85.7~CCQ_total_median: 3.3~CCQ_total_range: 1.6-5.1~EQ5D_median: 0.7~EQ5D_range: 0.077-1~EQ5D_VAS_median: 50.0~EQ5D_VAS_range: 24-89~COPD_readmissions_6mo_prior: 0: 16 (57.14%), 1: 8 (28.57%), >1: 4 (14.29%)",2,standard hospital treatment for an exacerbation,high,,0,,,,0,,0,,False,,0,,0,,False,,,,True,,Living alone: 20 (71.43%)~Living with spouse: 8 (28.57%),,,,,,"{'prompt_version': 'v11', 'model': 'ds-flash', 'extracted_at': '2026-05-07T23:53:38.683382', 'study_info': {'n_arms': 2, 'arm_labels': ['control', 'intervention']}}",Secondary
