field_name,cov_nr,arm,llm_value,prior_value,adjudication,adjudicator_note
gender_pct_female,0474,treat1,52.78,53.0,,
gender_pct_female,0498,treat1,10.71,12.0,,
gender_pct_female,0558,control,34.09,34.0,,
gender_pct_female,0558,treat1,41.86,42.0,,
gender_pct_female,0602,control,30.77,31.0,,
gender_pct_female,0602,treat1,35.94,38.0,,
gender_pct_female,0641,treat1,63.33,63.0,,
gender_pct_female,0770,control,12.22,12.0,,
gender_pct_female,0770,treat1,23.08,23.0,,
gender_pct_female,0792,control,44.44,51.6,,
gender_pct_female,0792,treat1,40.74,48.4,,
gender_pct_female,0825,control,36.54,36.5,,
gender_pct_female,0825,treat1,25.49,25.5,,
gender_pct_female,1067,control,49.3,52.2,,
gender_pct_female,1067,treat1,57.75,60.3,,
gender_pct_female,1080,control,35.48,35.5,,
gender_pct_female,1080,treat1,62.07,62.1,,
gender_pct_female,1203,control,42.86,42.9,,
gender_pct_female,1228,control,37.21,37.0,,
gender_pct_female,1228,treat1,35.09,35.0,,
gender_pct_female,1400,control,51.56,51.12,,
gender_pct_female,1400,treat1,60.48,57.18,,
gender_pct_female,1537,treat1,38.18,38.2,,
gender_pct_female,1672,control,31.25,31.2,,
gender_pct_female,1672,treat1,34.78,34.8,,
gender_pct_female,1952,control,58.14,58.1,,
gender_pct_female,1952,treat1,46.81,46.8,,
gender_pct_female,2003,control,58.21,58.0,,
gender_pct_female,2003,treat1,52.24,52.0,,
gender_pct_female,2125,control,28.3,28.0,,
gender_pct_female,2125,treat1,18.87,19.0,,
gender_pct_female,2172,treat1,46.67,47.0,,
gender_pct_female,2391,treat1,62.07,62.1,,
gender_pct_female,2667,control,30.25,30.2,,
gender_pct_female,2667,treat1,30.57,30.6,,
gender_pct_female,2815,treat1,65.35,65.3,,
gender_pct_female,2821,control,58.93,58.9,,
gender_pct_female,3116,control,56.26,56.3,,
gender_pct_female,3116,treat1,51.73,51.7,,
gender_pct_female,3182,control,45.95,46.0,,
gender_pct_female,3182,treat1,38.89,39.0,,
gender_pct_female,3535,control,39.66,65.0,,
gender_pct_female,3535,treat1,22.41,55.0,,
gender_pct_female,3630,control,8.33,8.0,,
gender_pct_female,4104,control,41.46,41.0,,
gender_pct_female,4104,treat1,41.86,54.0,,
gender_pct_female,4104,treat2,53.66,42.0,,
gender_pct_female,4106,treat1,42.11,39.0,,
gender_pct_female,4108,control,62.5,67.0,,
gender_pct_female,4108,treat1,66.67,63.0,,
gender_pct_female,4194,treat1,46.51,48.0,,
gender_pct_female,4337,control,68.33,68.0,,
gender_pct_female,4337,treat1,68.33,68.0,,
gender_pct_female,4345,treat1,13.64,13.6,,
gender_pct_female,4475,control,50.78,51.0,,
gender_pct_female,4475,treat1,58.59,59.0,,
gender_pct_female,4724,control,31.34,31.3,,
gender_pct_female,4724,treat1,58.46,58.5,,
gender_pct_female,4727,control,43.44,43.0,,
gender_pct_female,4727,treat1,43.71,44.0,,
gender_pct_female,4736,control,7.69,8.0,,
gender_pct_female,4736,treat1,6.67,7.0,,
gender_pct_female,4876,treat1,73.68,73.7,,
gender_pct_female,4986,control,63.64,63.0,,
gender_pct_female,4986,treat1,54.55,55.0,,
gender_pct_female,5203,control,17.54,17.5,,
gender_pct_female,5203,treat1,21.74,21.7,,
gender_pct_female,5232,control,47.5,48.0,,
gender_pct_female,5232,treat1,43.9,44.0,,
gender_pct_female,5232,treat2,43.9,44.0,,
gender_pct_female,5737,control,50.68,50.7,,
gender_pct_female,5787,control,25.64,25.6,,
gender_pct_female,5787,treat1,33.33,33.3,,
age_mean,1400,control,71.97,72.87,,
age_mean,1400,treat1,71.99,71.8,,
age_mean,4104,treat1,68.5,68.2,,
age_mean,4104,treat2,68.2,68.5,,
age_mean,4108,control,64.0,72.0,,
age_mean,4108,treat1,72.0,64.0,,
age_sd,1400,control,11.75,12.16,,
age_sd,1400,treat1,9.6,9.83,,
age_sd,4104,treat1,11.0,9.9,,
age_sd,4104,treat2,9.9,11.0,,
age_sd,4108,control,12.0,9.0,,
age_sd,4108,treat1,9.0,12.0,,
age_se,4876,control,1.13,1134.0,,
age_se,4876,treat1,1.17,1169.0,,
age_se,4876,treat2,1.16,1161.0,,
fev1_pct_mean,4104,treat1,53.3,50.6,,
fev1_pct_mean,4104,treat2,50.6,53.3,,
fev1_pct_mean,4108,control,34.4,46.7,,
fev1_pct_mean,4108,treat1,46.7,34.4,,
fev1_pct_sd,4104,treat1,20.4,18.2,,
fev1_pct_sd,4104,treat2,18.2,20.4,,
fev1_pct_sd,4108,control,15.0,18.7,,
fev1_pct_sd,4108,treat1,18.7,15.0,,
health_literacy,0474,control,True,False,,
health_literacy,0474,treat1,True,False,,
health_literacy,0641,control,False,True,,
health_literacy,0641,treat1,False,True,,
health_literacy,0770,control,False,True,,
health_literacy,0770,treat1,False,True,,
health_literacy,0825,control,False,True,,
health_literacy,0825,treat1,False,True,,
health_literacy,1067,control,True,False,,
health_literacy,1067,treat1,True,False,,
health_literacy,1537,control,False,True,,
health_literacy,1537,treat1,False,True,,
health_literacy,4104,control,True,False,,
health_literacy,4104,treat1,True,False,,
health_literacy,4104,treat2,True,False,,
health_literacy,4108,control,True,False,,
health_literacy,4108,treat1,True,False,,
health_literacy,4345,control,True,False,,
health_literacy,4345,treat1,True,False,,
health_literacy,5232,control,False,True,,
health_literacy,5232,treat1,False,True,,
health_literacy,5232,treat2,False,True,,
health_literacy,5534,control,True,False,,
health_literacy,5534,treat1,True,False,,
health_literacy,5787,control,False,True,,
health_literacy,5787,treat1,False,True,,
digital_literacy,0474,control,True,False,,
digital_literacy,0474,treat1,True,False,,
digital_literacy,4345,control,True,False,,
digital_literacy,4345,treat1,True,False,,
ses,0641,control,False,True,,
ses,0641,treat1,False,True,,
ses,1537,control,True,False,,
ses,1537,treat1,True,False,,
ses,4475,control,True,False,,
ses,4475,treat1,True,False,,
ses,4727,control,True,False,,
ses,4727,treat1,True,False,,
ses,5339,control,True,False,,
ses,5339,treat1,True,False,,
ses,6039,control,True,False,,
ses,6039,treat1,True,False,,
educational_level,0558,control,True,False,,
educational_level,0558,treat1,True,False,,
educational_level,3116,control,False,True,,
educational_level,3116,treat1,False,True,,
educational_level,4727,control,False,True,,
educational_level,4727,treat1,False,True,,
