field_name,bucket,n_total,n_compared,n_both_na,n_one_na,undersampled,primary_metric,primary_value,secondary_metric,secondary_value,tertiary_metric,tertiary_value,flagged,flag_reason,one_na_llm_cov_nrs,one_na_gold_cov_nrs
bp_diastolic_sd,numerical,10,0,10,0,True,icc_2_1,,na_concordance_rate,,,,False,,,
bp_other,free_text,10,0,10,0,True,token_f1,,,,,,False,,,
smoking_status,structured_string_array,10,4,4,2,True,key_jaccard,0.0,value_agreement_on_matched_keys,,,,True,key_jaccard=0.000 < 0.85,,1228
pack_years_mean,numerical,10,4,6,0,True,icc_2_1,1.0,na_concordance_rate,1.0,,,False,,,
pack_years_sd,numerical,10,4,6,0,True,icc_2_1,1.0,na_concordance_rate,1.0,,,False,,,
pack_years_other,free_text,10,0,10,0,True,token_f1,,,,,,False,,,
smoking_status_other,free_text,10,0,5,5,True,token_f1,,,,,,False,,,1800; 2003; 2667
fev1_pct_mean,numerical,10,6,4,0,False,icc_2_1,1.0,na_concordance_rate,1.0,,,False,,,
fev1_pct_sd,numerical,10,6,4,0,False,icc_2_1,1.0,na_concordance_rate,1.0,,,False,,,
fev1_other,free_text,10,2,8,0,True,token_f1,0.0,,,,,False,,,
disease_severity_other,structured_string_array,10,6,0,4,False,key_jaccard,0.0,value_agreement_on_matched_keys,,,,True,key_jaccard=0.000 < 0.85,,1228; 1800
healthcare_setting,categorical,10,10,0,0,False,gwet_ac1,0.7561,percent_agreement,0.8,cohen_kappa,0.0,True,gwet_ac1=0.756 < 0.8,,
healthcare_setting_explanation,free_text,10,10,0,0,False,token_f1,0.1893,,,,,False,,,
healthcare_setting_confidence,categorical,10,10,0,0,False,gwet_ac1,0.0099,percent_agreement,0.5,cohen_kappa,0.1935,True,gwet_ac1=0.010 < 0.8,,
healthcare_setting_confidence_explanation,free_text,10,2,3,5,True,token_f1,0.025,,,,,False,,,1800; 2003; 2667; 4337
health_literacy,categorical,10,10,0,0,False,gwet_ac1,1.0,percent_agreement,1.0,cohen_kappa,1.0,False,,,
health_literacy_instrument_name,categorical,10,0,10,0,True,gwet_ac1,,percent_agreement,,,,False,,,
health_literacy_instrument_value,numerical,10,0,10,0,True,icc_2_1,,na_concordance_rate,,,,False,,,
health_literacy_instrument_other,free_text,10,0,10,0,True,token_f1,,,,,,False,,,
digital_strategy_excludes,boolean,10,10,0,0,False,gwet_ac1,1.0,percent_agreement,1.0,cohen_kappa,1.0,False,,,
digital_strategy_excludes_explanation,free_text,10,4,0,6,True,token_f1,0.3333,,,,,False,,1800; 2003; 2667,
digital_strategy_provides_equipment,boolean,10,10,0,0,False,gwet_ac1,0.6552,percent_agreement,0.8,cohen_kappa,0.5455,True,gwet_ac1=0.655 < 0.8,,
digital_strategy_provides_equipment_explanation,free_text,10,2,0,8,True,token_f1,0.3095,,,,,False,,1228; 1800; 2003; 2667; 4337,
digital_strategy_provides_training,boolean,10,10,0,0,False,gwet_ac1,1.0,percent_agreement,1.0,cohen_kappa,1.0,False,,,
digital_strategy_provides_training_explanation,free_text,10,1,0,9,True,token_f1,0.1818,,,,,False,,1228; 1800; 2003; 2667; 4337,
digital_strategy_provides_ongoing_support,boolean,10,10,0,0,False,gwet_ac1,0.5973,percent_agreement,0.7,cohen_kappa,-0.1538,True,gwet_ac1=0.597 < 0.8,,
digital_strategy_provides_ongoing_support_explanation,free_text,10,2,0,8,True,token_f1,0.0,,,,,False,,1800; 2003; 2667; 4337,
digital_literacy,boolean,10,10,0,0,False,gwet_ac1,1.0,percent_agreement,1.0,cohen_kappa,1.0,False,,,
digital_literacy_possession,structured_string_array,10,0,10,0,True,key_jaccard,,value_agreement_on_matched_keys,,,,False,,,
digital_literacy_frequency,structured_string_array,10,0,10,0,True,key_jaccard,,value_agreement_on_matched_keys,,,,False,,,
digital_literacy_skills,structured_string_array,10,0,10,0,True,key_jaccard,,value_agreement_on_matched_keys,,,,False,,,
ses,boolean,10,10,0,0,False,gwet_ac1,0.7561,percent_agreement,0.8,cohen_kappa,0.0,True,gwet_ac1=0.756 < 0.8,,
ses_income,structured_string_array,10,0,10,0,True,key_jaccard,,value_agreement_on_matched_keys,,,,False,,,
ses_living_situation,structured_string_array,10,0,8,2,True,key_jaccard,,value_agreement_on_matched_keys,,,,False,,,2667
ses_relationship_status,structured_string_array,10,0,10,0,True,key_jaccard,,value_agreement_on_matched_keys,,,,False,,,
ses_job_status,structured_string_array,10,0,10,0,True,key_jaccard,,value_agreement_on_matched_keys,,,,False,,,
ses_living_location,structured_string_array,10,0,8,2,True,key_jaccard,,value_agreement_on_matched_keys,,,,False,,,2667
educational_level,structured_string_array,10,0,10,0,True,key_jaccard,,value_agreement_on_matched_keys,,,,False,,,
ethnicity,structured_string_array,10,0,10,0,True,key_jaccard,,value_agreement_on_matched_keys,,,,False,,,
