field_name,cov_nr,arm,llm_value,gold_value,adjudication,adjudicator_note
gender_pct_male,4337,control,31.67,32.0,,
gender_pct_male,4337,treat1,31.67,32.0,,
gender_female_n,2003,control,39.0,35.0,,
gender_female_n,2003,treat1,35.0,39.0,,
gender_male_n,2003,control,28.0,32.0,,
gender_male_n,2003,treat1,32.0,28.0,,
age_mean,2667,treat1,67.3,67.6,,
age_sd,2667,treat1,8.9,8.3,,
smoking_status,2003,control,"[('Never', '1 (1.49%)'), ('Former', '48 (71.64%)'), ('Current', '18 (26.87%)')]","[('(\'""Never\', \'1 (1%); Former', '48 (72%); Current: 18 (27%)""\')')]",,
smoking_status,2003,treat1,"[('Never', '2 (2.99%)'), ('Former', '51 (76.12%)'), ('Current', '12 (17.91%)'), ('non-smoking (inferred)', '2')]","[('(\'""Never\', \'2 (3%); Former', '51 (79%); Current: 12 (18%)""\')')]",,
smoking_status,2667,control,"[('Current', '34 (20.99%)'), ('Former', '128 (79.01%)')]","[('(\'""Current\', \'34 (21,0%)""\')', '')]",,
smoking_status,2667,treat1,"[('Current', '34 (21.66%)'), ('Former', '123 (78.34%)')]","[('(\'""Current\', \'34 (21,7%)""\')', '')]",,
disease_severity_other,2003,control,"[('FEV1_FVC_ratio_mean', '42.7'), ('FEV1_FVC_ratio_sd', '11.1'), ('GOLD_stage', 'I: 0%, II: 0%, III: 67%, IV: 33%'), ('GOLD_stage', 'A: 0%, B: 33%, C: 4%, D: 63%'), ('LTOT_pct', '13.43%'), ('SpO2_mean', '94.8'), ('SpO2_sd', '3.1'), ('mMRC_distribution', '3: 52.24%, 4: 34.33%, 5: 13.43%'), ('BODE_median', '5.0'), ('BODE_iqr', '4-6'), ('other', 'Charlson Comorbidity Index: 1: 34%, 2: 33%, ≥3: 33%'), ('exacerbations_prior_year_median', '2'), ('exacerbations_prior_year_iqr', '1-3'), ('6MWD_mean', '332.3'), ('6MWD_sd', '97.5'), ('other', '30sec-STS_mean: 9.6'), ('other', '30sec-STS_sd: 3.8'), ('steps_per_day_mean', '3422'), ('steps_per_day_sd', '2335'), ('sedentary_min_per_day_mean', '1164'), ('sedentary_min_per_day_sd', '134'), ('other', 'active_min_per_day_mean: 276'), ('other', 'active_min_per_day_sd: 134'), ('CAT_mean', '20.4'), ('CAT_sd', '6.6'), ('HADS_anxiety_mean', '5.9'), ('HADS_anxiety_sd', '3.1'), ('HADS_depression_mean', '4.1'), ('HADS_depression_sd', '3.1'), ('EQ5D_VAS_mean', '53.9'), ('EQ5D_VAS_sd', '19.1'), ('EQ5D_mean', '0.70'), ('EQ5D_sd', '0.12'), ('CCQ_symptoms_mean', '3.0'), ('CCQ_symptoms_sd', '1.2'), ('CCQ_functional_mean', '3.0'), ('CCQ_functional_sd', '1.3'), ('CCQ_mental_mean', '2.9'), ('CCQ_mental_sd', '1.4'), ('CCQ_total_mean', '2.9'), ('CCQ_total_sd', '1.0'), ('other', 'Walking aid: 33%')]","[('(\'""LTOT\', \'9 (13%)""\')', '')]",,
disease_severity_other,2003,treat1,"[('FEV1_FVC_ratio_mean', '43.9'), ('FEV1_FVC_ratio_sd', '11.3'), ('GOLD_stage', 'I: 0%, II: 0%, III: 55%, IV: 45%'), ('GOLD_stage', 'A: 5%, B: 34%, C: 3%, D: 58%'), ('LTOT_pct', '16.42%'), ('SpO2_mean', '94.6'), ('SpO2_sd', '2.4'), ('mMRC_distribution', '2: 2.99%, 3: 44.78%, 4: 40.30%, 5: 11.94%'), ('BODE_median', '5.0'), ('BODE_iqr', '4-7'), ('other', 'Charlson Comorbidity Index: 1: 45%, 2: 40%, ≥3: 15%'), ('exacerbations_prior_year_median', '2'), ('exacerbations_prior_year_iqr', '0-4'), ('6MWD_mean', '322.3'), ('6MWD_sd', '108.3'), ('other', '30sec-STS_mean: 9.9'), ('other', '30sec-STS_sd: 4.7'), ('steps_per_day_mean', '2779'), ('steps_per_day_sd', '1966'), ('sedentary_min_per_day_mean', '1244'), ('sedentary_min_per_day_sd', '121'), ('other', 'active_min_per_day_mean: 196'), ('other', 'active_min_per_day_sd: 121'), ('CAT_mean', '19.8'), ('CAT_sd', '7.3'), ('HADS_anxiety_mean', '6.8'), ('HADS_anxiety_sd', '3.8'), ('HADS_depression_mean', '4.5'), ('HADS_depression_sd', 'NA'), ('EQ5D_VAS_mean', '51.5'), ('EQ5D_VAS_sd', '19.4'), ('EQ5D_mean', '0.66'), ('EQ5D_sd', '0.20'), ('CCQ_symptoms_mean', '2.8'), ('CCQ_symptoms_sd', '1.2'), ('CCQ_functional_mean', '2.8'), ('CCQ_functional_sd', '1.1'), ('CCQ_mental_mean', '2.8'), ('CCQ_mental_sd', '1.5'), ('CCQ_total_mean', '2.7'), ('CCQ_total_sd', '0.9'), ('other', 'Walking aid: 34%')]","[('(\'""LTOT\', \'11 (16%)""\')', '')]",,
disease_severity_other,2667,control,"[('6MWD_mean', '292'), ('6MWD_sd', '121'), ('mMRC_distribution', 'Grade 4: 19.14%, Grade 3: 27.78%, Grade 2: 37.65%, Grade 0-1: 15.43%'), ('FEV1_L_mean', '0.96'), ('FEV1_L_sd', '0.37'), ('FEV1_FVC_ratio_mean', '43.7'), ('FEV1_FVC_ratio_sd', '11.3'), ('PaO2_mean', '62.6 mmHg'), ('PaO2_sd', '10.1'), ('PaCO2_mean', '42.9 mmHg'), ('PaCO2_sd', '6.5'), ('exacerbations_prior_year_mean', '1.3'), ('exacerbations_prior_year_sd', '0.8'), ('other', 'Patients with ≥2 hospitalised exacerbations in past 12 months: 19 (11.73%)'), ('GOLD_stage', 'A: 1.23%, B: 0.62%, C: 13.58%, D: 82.10%'), ('BODE_mean', '5.2'), ('BODE_sd', '2.1'), ('other', 'BODE index 7-10: 39 (24.07%)'), ('LTOT_pct', '72.84%'), ('other', 'Home mechanical ventilation: 48 (29.63%)'), ('SGRQ_total_mean', '57.4'), ('SGRQ_total_sd', '18.3'), ('HADS_total_mean', '21.2'), ('HADS_total_sd', '3.1'), ('other', 'HADS moderate-severe anxiety: 47 (29.01%)'), ('other', 'HADS moderate-severe depression: 123 (75.93%)'), ('Charlson_mean', '4.2'), ('Charlson_sd', '1.8'), ('other', 'Number of concomitant diseases: 3.5±2.0'), ('other', 'Total number of medications: 8.2±4.0')]","[('(\'""LTOT\', \'118 (72,8%); HMV', '48 (29,6%)""\')')]",,
disease_severity_other,2667,treat1,"[('6MWD_mean', '278'), ('6MWD_sd', '115'), ('mMRC_distribution', 'Grade 4: 12.74%, Grade 3: 30.57%, Grade 2: 38.22%, Grade 0-1: 18.47%'), ('FEV1_L_mean', '1.00'), ('FEV1_L_sd', '0.37'), ('FEV1_FVC_ratio_mean', '45.7'), ('FEV1_FVC_ratio_sd', '11.3'), ('PaO2_mean', '62.3 mmHg'), ('PaO2_sd', '11.1'), ('PaCO2_mean', '44.3 mmHg'), ('PaCO2_sd', '6.2'), ('exacerbations_prior_year_mean', '1.3'), ('exacerbations_prior_year_sd', '0.7'), ('other', 'Patients with ≥2 hospitalised exacerbations in past 12 months: 20 (12.74%)'), ('GOLD_stage', 'A: 4.46%, B: 5.10%, C: 13.38%, D: 71.97%'), ('BODE_mean', '5.0'), ('BODE_sd', '2.2'), ('other', 'BODE index 7-10: 44 (28.03%)'), ('LTOT_pct', '75.80%'), ('other', 'Home mechanical ventilation: 39 (24.84%)'), ('SGRQ_total_mean', '52.2'), ('SGRQ_total_sd', '19.7'), ('HADS_total_mean', '21.1'), ('HADS_total_sd', '3.1'), ('other', 'HADS moderate-severe anxiety: 34 (21.66%)'), ('other', 'HADS moderate-severe depression: 116 (73.89%)'), ('Charlson_mean', '4.2'), ('Charlson_sd', '1.8'), ('other', 'Number of concomitant diseases: 3.4±2.0'), ('other', 'Total number of medications: 8.2±4.0')]","[('(\'""LTOT\', \'119 (75,8%); HMV', '39 (24,8%)""\')')]",,
disease_severity_other,4337,control,"[('FVC_pct_mean', '28.5'), ('LTOT_pct', '60.00%'), ('comorbid_other_pct', '26.67%')]","[('(\'""LTOT\', \'36 (60%); FVC', '28.5%""\')')]",,
disease_severity_other,4337,treat1,"[('FVC_pct_mean', '28.6'), ('LTOT_pct', '61.67%'), ('comorbid_other_pct', '25.00%')]","[('(\'""LTOT\', \'37 (62%); FVC', '28.6%""\')')]",,
healthcare_setting,4337,control,2,3,,
healthcare_setting,4337,treat1,2,3,,
healthcare_setting_confidence,1800,treat1,moderate,high,,
healthcare_setting_confidence,2003,treat1,moderate,high,,
healthcare_setting_confidence,2667,treat1,moderate,high,,
healthcare_setting_confidence,4337,control,moderate,high,,
healthcare_setting_confidence,4337,treat1,moderate,high,,
digital_strategy_provides_equipment,1228,treat1,False,True,,
digital_strategy_provides_equipment,4337,control,False,True,,
digital_strategy_provides_ongoing_support,1228,control,True,False,,
digital_strategy_provides_ongoing_support,1228,treat1,True,False,,
digital_strategy_provides_ongoing_support,4337,treat1,False,True,,
ses,2667,control,True,False,,
ses,2667,treat1,True,False,,
